resource_id;name;address;zip;Phone Number;url
3;A.J. Thomas: Medi-Cal Clinic;0615 E 14th St;94621;(510) 835-9610;https://westoaklandhealth.org/
13;City of Oakland - Human Services;1 Frank H Ogawa Plz;94612;(510) 238-3121;https://www.oaklandca.gov/departments/department-of-human-resources-management#services
14;Hoag Addiction Treatment Center - Newport Beach;1 Hoag Dr;92663;(888) 491-7124;https://www.hoagaddictiontreatment.com/?utm_source=google&utm_medium=local&utm_content=addiction-irvine
16;Sutter Roseville Medical Center - Birth Center;1 Medical Plaza Dr;95661;(916) 781-1517;https://www.sutterhealth.org/srmc/location-search?location-lat=38.7424319&location-lng=-121.2511908&location-auto=Roseville%2C+CA+95661&location-query=&location-area=Roseville%2C+CA+95661&location-distance=8.07&location-type=Birth+Centers&location-affiliate=Sutter+Roseville+Medical+Center
17;Sutter Roseville Wound Care;1 Medical Plaza Dr;95661;(916) 781-1386;https://www.sutterhealth.org/
18;Blue Oak Dental;1 Medical Plaza Dr;95661;(916) 786-6777;https://blueoakdentalgroup.com/
20;Kaiser Permanente - Addiction Medicine and Recovery Services;1 Quality Dr;95688;(707) 624-2830;https://thrive.kaiserpermanente.org/care-near-you/northern-california/napasolano/departments/amrs-introduction/
21;Kaiser Permanente - Pharmacy;1 Quality Dr;95688;(707) 624-2500;https://thrive.kaiserpermanente.org/care-near-you/northern-california/napasolano/departments/pharmacy/pharmacy-locations-hours-operation/
23;Walton Pediatrics & Medical Associates;1 Scripps Dr;95825;(916) 929-3456;https://www.waltonpediatrics.com/locations.html
24;Sacramento Family and Implant Dentistry;1 Scripps Dr;95825;(916) 999-4333;https://drjonahtabrizi.com/
25;Vacaville Town Square Library;1 Town Square Pl;95688;(866) 572-7587;https://solanolibrary.com/hours-and-locations/vacaville-town-square-library/
26;Leather by Libraries;1 University Dr;92866;(714) 532-7756;https://www.chapman.edu/library/index.aspx
27;San Francisco Municipal Transportation Agency;1 Van Ness Ave;94103;(415) 701-2311;https://www.sfmta.com/
28;Mayor's Office of Housing and Community Development;1 Van Ness Ave;94103;(415) 701-5500;https://sf.gov/
37;Sacramento Colon and Rectal Surgery Group;10 Sierra Gate Plz;95678;(916) 960-0466;http://scrs1.org/
40;Calabasas Disability Related Transportation;100 Civic Center Way;91302;(818) 224-1600;https://www.211la.org/resources/service/disability-related-transportation-72
48;Pleasant Hill Library - Contra Costa County Library;100 Gregory Ln;94523;(925) 646-6434;https://ccclib.org/locations/43/
49;San Lorenzo Family Help Center;100 Hacienda Ave;94580;(510) 361-0080;https://www.slzhelp.org/
50;Sutter Medical Foundation;100 Hospital Dr;94589;(707) 427-4900;https://www.sutterhealth.org
51;Snowline Hospice - Sacramento;100 Howe Ave;95825;(916) 817-2338;https://snowlinehospice.org/our-services/hospice-services
