resource_id;name;address;zip;Phone Number;url
3;A.J. Thomas: Medi-Cal Clinic;0615 E 14th St;94621;(510) 835-9610;https://westoaklandhealth.org/
13;City of Oakland - Human Services;1 Frank H Ogawa Plz;94612;(510) 238-3121;https://www.oaklandca.gov/departments/department-of-human-resources-management#services
14;Hoag Addiction Treatment Center - Newport Beach;1 Hoag Dr;92663;(888) 491-7124;https://www.hoagaddictiontreatment.com/?utm_source=google&utm_medium=local&utm_content=addiction-irvine
16;Sutter Roseville Medical Center - Birth Center;1 Medical Plaza Dr;95661;(916) 781-1517;https://www.sutterhealth.org/srmc/location-search?location-lat=38.7424319&location-lng=-121.2511908&location-auto=Roseville%2C+CA+95661&location-query=&location-area=Roseville%2C+CA+95661&location-distance=8.07&location-type=Birth+Centers&location-affiliate=Sutter+Roseville+Medical+Center
17;Sutter Roseville Wound Care;1 Medical Plaza Dr;95661;(916) 781-1386;https://www.sutterhealth.org/
18;Blue Oak Dental;1 Medical Plaza Dr;95661;(916) 786-6777;https://blueoakdentalgroup.com/
20;Kaiser Permanente - Addiction Medicine and Recovery Services;1 Quality Dr;95688;(707) 624-2830;https://thrive.kaiserpermanente.org/care-near-you/northern-california/napasolano/departments/amrs-introduction/
21;Kaiser Permanente - Pharmacy;1 Quality Dr;95688;(707) 624-2500;https://thrive.kaiserpermanente.org/care-near-you/northern-california/napasolano/departments/pharmacy/pharmacy-locations-hours-operation/
23;Walton Pediatrics & Medical Associates;1 Scripps Dr;95825;(916) 929-3456;https://www.waltonpediatrics.com/locations.html
24;Sacramento Family and Implant Dentistry;1 Scripps Dr;95825;(916) 999-4333;https://drjonahtabrizi.com/
25;Vacaville Town Square Library;1 Town Square Pl;95688;(866) 572-7587;https://solanolibrary.com/hours-and-locations/vacaville-town-square-library/
26;Leather by Libraries;1 University Dr;92866;(714) 532-7756;https://www.chapman.edu/library/index.aspx
27;San Francisco Municipal Transportation Agency;1 Van Ness Ave;94103;(415) 701-2311;https://www.sfmta.com/
28;Mayor's Office of Housing and Community Development;1 Van Ness Ave;94103;(415) 701-5500;https://sf.gov/
37;Sacramento Colon and Rectal Surgery Group;10 Sierra Gate Plz;95678;(916) 960-0466;http://scrs1.org/
40;Calabasas Disability Related Transportation;100 Civic Center Way;91302;(818) 224-1600;https://www.211la.org/resources/service/disability-related-transportation-72
48;Pleasant Hill Library - Contra Costa County Library;100 Gregory Ln;94523;(925) 646-6434;https://ccclib.org/locations/43/
49;San Lorenzo Family Help Center;100 Hacienda Ave;94580;(510) 361-0080;https://www.slzhelp.org/
50;Sutter Medical Foundation;100 Hospital Dr;94589;(707) 427-4900;https://www.sutterhealth.org
51;Snowline Hospice - Sacramento;100 Howe Ave;95825;(916) 817-2338;https://snowlinehospice.org/our-services/hospice-services
52;The Salvation Army - Roseville Corps;100 Lincoln St;95678;(916) 784-3382;https://roseville.salvationarmy.org
54;Self Care Counseling Marriage Family and Child Therapy;100 N Brand Blvd;91203;(213) 347-4740;https://selfcareca.com/
55;Diablo Valley Drug and Alcohol Services;100 Park Pl;94583;(925) 289-1430;https://www.diablovalleytreatment.com/?utm_source=gmb_auth
58;Eagle Vision Eye Care Optometric Group;100 S Harding Blvd;95678;(916) 783-8109;https://www.michaeljohnsonod.com/
59;Catholic Charities Clean Start Mobile Showers;100 Santa Rosa Ave;95404;(855) 707-HOST;https://homelessaction.net/showers-toilets/
61;Nelson Staffing;100 Smith Ranch Rd;94903;(415) 479-5101;https://nelsonjoBlue Shield.com/about/locations/san-rafael/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=mybusiness
65;New Hope Village, Inc - Barstow, CA;100 W Fredricks St;92311;(760) 256-1900;https://newhopevillageinc.org/
80;Kelly Services;1000 Lakes Dr;91790;(626) 919-6330;https://www.kellyservices.us/?utm_source=gmb-listing&utm_medium=organic&utm_campaign=all_both_local-listings&utm_content=westcovina-ca
87;Flash Gordon, MD;1000 S Eliseo Dr;94904;(415) 461-2262;https://www.rossvalleyMedi-Cal.com/
89;Placer County Human Services Rocklin;1000 Sunset Blvd;95765;(916) 784-6000;https://www.placer.ca.gov/
95;The Shower of Hope - Westlake - 10th and Parkview;1001 S Parkview St;90006;;http://theshowerofhope.org/resources/
97;Arbor View Dental Group;10014 Foothills Blvd;95747;(916) 780-2262;https://www.arborviewdentalgroup.com/
98;CARE Ambulance, Inc - Station 503;10018 Lower Azusa Rd;91731;(714) 288-3800;https://careambulance.net/contact-us.html
100;Springstowne Library;1003 Oakwood Ave;94591;(866) 572-7587;https://solanolibrary.com/hours-and-locations/vallejo-springstowne-library/
102;CVS Pharmacy - Store #9923 - Bidwell Street Location;1005 E Bidwell St;95630;(916) 983-5366;https://www.cvs.com/store-locator/cvs-pharmacy-address/1005+East+Bidwell+Street-Folsom-CA-95630/storeid=9923?WT.mc_id=LS_GOOGLE_FS_9923
103;Congregational Network Shelter Program;1005 E Las Tunas Blvd;91776;(626) 569-0991;https://www.familypromisesgv.org/about-us/
107;AKUA Mind & Body - Mental Health & Drug Addiction Treatment;10087 Terra Loma Dr;95670;(888) 834-2582;https://www.akuamindbody.com/
108;American MedEquip ;1009 Enterprise Way;95678;(916) 791-2266;https://www.americanmedequipstore.com/
110;Owl Western Pharmacy;1009 W San Bernardino Rd;91722;(626) 962-1061;http://owlrexall.com/contact/
111;New Life Program;101 6th St;95401;(707) 542-4817;https://www.srmission.org/ministries
118;St. Jude Medi-Cal Center Wound Care and Hyperbaric Center;101 E Valencia Mesa Dr;92835;(714) 992-3000;https://www.providence.org/locations/st-jude-Medi-Cal-center/wound-care-and-hyperbaric-center?y_source=1_MTQxNjY2NDItNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl#llaid=2366
122;Men's Mission - Redwood Gospel Mission;101 Sixth St;95401;(707) 542-4817;https://srmission.org/ministries
123;UCI Urology;101 The City Dr S;92868;(888) 264-1533;http://urology.uci.edu/index.shtml
