resource_id;site_id;name;address;lat;lng;address_1;address_2;city;state;zip;deleted;Phone Number;Working Hours;PPO Insurances Accepted;HMO Insurances Accepted;Medicaid Accepted;Medicare Accepted?;Medicare Managed (Advantage) Plans;Self-pay accepted? Fees;Languages/interpreter services;Services;Transportation assistance;Patient Portal;Website where info found
3;33;A.J. Thomas: Medi-Cal Clinic;0615 E 14th St, Oakland, CA 94621;37.73057140;-122.16045920;0615 E 14th St;;Oakland;CA;94621;0;(510) 835-9610;Mon 8:15 AM - 5:00 PM, Tue 8:15 AM - 5:00 PM, Wed 8:15 AM - 5:00 PM, Thu 8:15 AM - 5:00 PM, Fri 8:15 AM - 5:00 PM, Sat Closed, Sun Closed;Yes;Yes;Yes;Yes;Yes;Yes, Sliding scale;Yes;Medi-Cal, Optometry, Dental, Pharmacy, Behavioral Health, substance Abuse;No;Yes;https://westoaklandhealth.org/
13;34;City of Oakland - Human Services;1 Frank H Ogawa Plz, 2nd Floor, Oakland, CA 94612;37.80532040;-122.27254440;1 Frank H Ogawa Plz;2nd Floor;Oakland;CA;94612;0;(510) 238-3121;Mon 8:30 AM - 5:00 PM, Tue 8:30 AM - 5:00 PM, Wed 8:30 AM - 5:00 PM, Thu 8:30 AM - 5:00 PM, Fri 8:30 AM - 5:00 PM, Sat Closed, Sun Closed;;;;;;;;;;;https://www.oaklandca.gov/departments/department-of-human-resources-management#services
14;51;Hoag Addiction Treatment Center - Newport Beach;1 Hoag Dr, Newport Beach, CA 92663;33.62281470;-117.93084990;1 Hoag Dr;;Newport Beach;CA;92663;0;(888) 491-7124;Mon Open 24 hours, Tue Open 24 hours, Wed Open 24 hours, Thu Open 24 hours, Fri Open 24 hours, Sat Open 24 hours, Sun Open 24 hours, Holidays Open 24 hours;Aetna, Anthem, APS Healthcare, Beech Street, Blue Shield of California, Cigna, Coventry, First Health Network, HMC Healthworks, Multiplan, United Healthcare, Managed Health Network, Magellan, Cigna Behavioral Health, Value Options, Optum/United Behavioral Health;ALL MAJOR;Yes;;Yes;Yes;;RESIDENTIAL PROGRAM, Medi-Cal DETOX, INPATIENT REHAB, OUTPATIENT REHAB, DUAL DIAGNOSIS, ONGOING RECOVERY MANAGEMENT, 12-STEP PROGRAM, EXTENSIVE FAMILY SUPPORT;;;https://www.hoagaddictiontreatment.com/?utm_source=google&utm_medium=local&utm_content=addiction-irvine
16;0;Sutter Roseville Medical Center - Birth Center;1 Medical Plaza Dr, Lower Level, Roseville, CA 95661;38.76625110;-121.24922340;1 Medical Plaza Dr;Lower Level;Roseville;CA;95661;0;(916) 781-1517;Mon Open 24 hours, Tue Open 24 hours, Wed Open 24 hours, Thu Open 24 hours, Fri Open 24 hours, Sat Open 24 hours, Sun Open 24 hours, Holidays Open 24 hours;Aetna, Alignment, Anthem Blue Cross of California, Blue Shield of California, Cigna, Health Net - Currently in 2021 Contract Negotiations, HealthSmart, Hometown Health, Multiplan, Pacific, Pacific Health Alliance, PHCS (Private Healthcare Systems, Inc.), Sutter Health - Aetna, Sutter Health Plus, TRICARE, UnitedHealthcare - Currently in 2021 Contract Negotiations;We accept all major insurance companies HMOs with Sutter Medical Group, Sutter Independent Physicians, and Hill Physicians;Medicaid Insurances Accepted;;;;Yes, language assistance provided;;;;https://www.sutterhealth.org/srmc/location-search?location-lat=38.7424319&location-lng=-121.2511908&location-auto=Roseville%2C+CA+95661&location-query=&location-area=Roseville%2C+CA+95661&location-distance=8.07&location-type=Birth+Centers&location-affiliate=Sutter+Roseville+Medical+Center
17;21;Sutter Roseville Wound Care;1 Medical Plaza Dr, Roseville, CA 95661;38.76625110;-121.24922340;1 Medical Plaza Dr;;Roseville;CA;95661;0;(916) 781-1386;Mon Open 24 hours, Tue Open 24 hours, Wed Open 24 hours, Thu Open 24 hours, Fri Open 24 hours, Sat Open 24 hours, Sun Open 24 hours, Holidays Open 24 hours;;;;;;;;Compression therapy, Debridement of dead skin, Diagnostic testing and imaging, Infectious disease management, Wound cleaning, protection and dressing, Tissue grafts, Pain management;;;https://www.sutterhealth.org/
18;0;Blue Oak Dental;1 Medical Plaza Dr, Roseville, CA 95661;38.76625110;-121.24922340;1 Medical Plaza Dr;;Roseville;CA;95661;0;(916) 786-6777;Mon 7:00 AM - 7:00 PM, Tue 7:00 AM - 7:00 PM, Wed 7:00 AM - 7:00 PM, Thu 7:00 AM - 7:00 PM, Fri 7:00 AM - 4:00 PM, Sat 7:00 AM - 1:00 PM, Sun Closed;All PPO;No;No;;;Yes. Any patient who pays out of pocket wheter that is with cash, debit, check or carecredit will receive 5% off their bill;No;No;;No patient portal;https://blueoakdentalgroup.com/
20;27;Kaiser Permanente - Addiction Medicine and Recovery Services;1 Quality Dr, Vacaville, CA 95688;38.38848170;-121.93925730;1 Quality Dr;;Vacaville;CA;95688;0;(707) 624-2830;Mon 8:30 AM - 5:30 PM, Tue 8:30 AM - 5:30 PM, Wed 8:30 AM - 5:30 PM, Thu 8:30 AM - 5:30 PM, Fri 8:30 AM - 5:30 PM, Sat Closed, Sun Closed;;;;;;;;Addiction Medicine consultation for patients with possible substance use problems (including hospitalized patients). Medi-Cally supervised outpatient detoxification and referral for inpatient Medi-Cal detoxification (when clinically indicated). Early Intervention Program and Harm Reduction Group (in Vallejo) for patients who may be abusing substances and want to explore the effects these may have on their lives. Intensive Recovery Program for patients to attend four or more times per week AM or PM (most patients can work while in this level of care). Day Treatment Program providing 38 hours/week of daily comprehensive treatment services (patients generally take time off from work while in th;;;https://thrive.kaiserpermanente.org/care-near-you/northern-california/napasolano/departments/amrs-introduction/
21;27;Kaiser Permanente - Pharmacy;1 Quality Dr, Vacaville, CA 95688;38.38848170;-121.93925730;1 Quality Dr;;Vacaville;CA;95688;0;(707) 624-2500;Mon Open 24 hours, Tue Open 24 hours, Wed Open 24 hours, Thu Open 24 hours, Fri Open 24 hours, Sat Open 24 hours, Sun Open 24 hours, Holidays Open 24 hours;;;;;;;;;;;https://thrive.kaiserpermanente.org/care-near-you/northern-california/napasolano/departments/pharmacy/pharmacy-locations-hours-operation/
23;0;Walton Pediatrics & Medical Associates;1 Scripps Dr, Ste 107, Sacramento, CA 95825;38.57247350;-121.41820690;1 Scripps Dr;Ste 107;Sacramento;CA;95825;0;(916) 929-3456;Mon 8:00 AM - 5:30 PM, Tue 8:00 AM - 5:30 PM, Wed 8:00 AM - 5:30 PM, Thu 8:00 AM - 5:30 PM, Fri 8:00 AM - 5:30 PM, Sat Closed, Sun Closed;We accept most major insurances plans. We do not accept Kaiser;Yes, we accept most major HMO plans;Yes, we accept Medicaid, Medi-Cal;;;;;Newborn exams, Baby exams, Childhood exams to age 21 years, Sports physicals, Immunizations, Childhood illnesses, Management of childhood (minor, non life threatening) injuries, ADHD management;;;https://www.waltonpediatrics.com/locations.html
24;0;Sacramento Family and Implant Dentistry;1 Scripps Dr, Ste 302, Sacramento, CA 95825;38.57320880;-121.41178690;1 Scripps Dr;Ste 302;Sacramento;CA;95825;0;(916) 999-4333;Mon 9:00 AM - 4:00 PM, Tue 9:00 AM - 4:00 PM, Wed 9:00 AM - 4:00 PM, Thu 9:00 AM - 4:00 PM, Fri Closed, Sat Closed, Sun Closed;;;;;;;;;;;https://drjonahtabrizi.com/
